ID,Name,NumYears,MinYear,MeanYear,StdDevYears,MaxYear
121,Alex T. Pang,19,1993,1999.94736842105,3.83657376386979,2005
122,Alexander Bock 0002,7,2012,2016.42857142857,2.69920623252731,2020
123,Alexander Bogomjakov,1,2002,2002,0,2002
124,Alexander Eiselmayer,1,2020,2020,0,2020
125,Alexander Erath,1,2014,2014,0,2014
126,Alexander Gribov,1,2012,2012,0,2012
127,Alexander Gubin,1,2001,2001,0,2001
128,Alexander Hann,1,2017,2017,0,2017
129,Alexander Kachkaev,3,2012,2014.33333333333,3.21455025366432,2018
130,Alexander Kumpf,2,2017,2017.5,0.707106781186548,2018
131,Alexander Lex,13,2010,2014.84615384615,3.57878363521634,2021
132,Alexander M. Rush,4,2017,2018.75,1.70782512765993,2021
133,Alexander Mordvintsev,1,2019,2019,0,2019
134,Alexander P. Auchus,1,2012,2012,0,2012
135,Alexander Pilhofer,1,2012,2012,0,2012
136,Alexander Rice,1,2004,2004,0,2004
137,Alexander Rind,4,2013,2014.5,1.91485421551268,2017
138,Alexander Savelyev,1,2011,2011,0,2011
139,Alexander Soen,1,2019,2019,0,2019
140,Alexander Sorokin,1,2007,2007,0,2007
141,Alexander Wiebel,6,2005,2008.16666666667,2.48327740429189,2012
142,Alexander Wolff 0001,2,2012,2012.5,0.707106781186548,2013
143,Alexandra Diehl,1,2019,2019,0,2019
144,Alexandra La Cruz,2,2004,2004,0,2004
145,Alexandra Landsberg,1,1996,1996,0,1996
146,Alexandra Lee,1,2020,2020,0,2020
147,Alexandra Voit,1,2020,2020,0,2020
148,Alexandra Zytek,2,2021,2021,0,2021
149,Alexandre Ancel,1,2010,2010,0,2010
150,Alexandre Gerussi,1,1998,1998,0,1998
151,Alexandre Gillet,1,2004,2004,0,2004
152,Alexandre X. Falcão,1,2016,2016,0,2016
153,Alexandru C. Telea,13,1999,2008.15384615385,7.09279157368185,2018
154,Alexandru Romosan,1,2012,2012,0,2012
155,Alexei A. Efros,1,2014,2014,0,2014
156,Alexis Kai-Hon Lau,1,2007,2007,0,2007
157,Alexis Pister,1,2020,2020,0,2020
158,Alfie Abdul-Rahman,2,2012,2016.5,6.36396103067893,2021
159,Alfred Hough,1,1992,1992,0,1992
160,Alfred Inselberg,5,1990,1995.6,3.64691650576209,1999
161,Alfred Kobsa,3,2001,2002.66666666667,1.52752523165195,2004
162,Alfred R. Fuller,1,2007,2007,0,2007
163,Alfredo Remy,1,1996,1996,0,1996
164,Ali K. Al-Awami,6,2013,2015.66666666667,1.96638416050035,2018
165,Ali Mahdavi-Amiri,1,2015,2015,0,2015
166,Ali Sarvghad,4,2010,2016,4.32049379893857,2020
167,Alice Chu,1,2019,2019,0,2019
168,Alice Thudt,1,2015,2015,0,2015
169,Alina Gvozdik,1,2016,2016,0,2016
170,Alireza Entezari,9,2004,2011.11111111111,5.79750904364203,2020
171,Alireza Karduni,4,2017,2019.75,1.89296944860009,2021
172,Alisa Neeman,1,2005,2005,0,2005
173,Alison Duffy,1,2013,2013,0,2013
174,Alistair D. M. Dove,1,2014,2014,0,2014
175,Alistair Morrison,2,2002,2002.5,0.707106781186548,2003
176,Alla Sheffer,1,2002,2002,0,2002
177,Alla Zelenyuk,1,2007,2007,0,2007
178,Allan Hanbury,1,2014,2014,0,2014
179,Allan R. Wilks,1,1990,1990,0,1990
180,Allan Rocha,1,2016,2016,0,2016
181,Allan Tuchman,1,1991,1991,0,1991
182,Allen McPherson,1,1998,1998,0,1998
183,Allen R. Martin,1,1995,1995,0,1995
184,Allen R. Sanderson,3,2004,2008.33333333333,3.78593889720018,2011
185,Allen Van Gelder,2,1993,1994.5,2.12132034355964,1996
186,Allison T. Silverman,1,2018,2018,0,2018
187,Allison Woodruff,1,2000,2000,0,2000
188,Almir Olivette Artero,1,2004,2004,0,2004
189,Alon Y. Halevy,1,2007,2007,0,2007
190,Alper Sarikaya,2,2017,2017.5,0.707106781186548,2018
191,Alvin J. Law,1,2010,2010,0,2010
192,Alvitta Ottley,5,2012,2015.4,2.96647939483826,2020
193,Alyn P. Rockwood,3,1990,1996.33333333333,6.02771377334171,2002
194,Amanda Randles,1,2011,2011,0,2011
195,Amel Guetat,1,2010,2010,0,2010
196,Amelio Vázquez Reina,1,2009,2009,0,2009
197,Amen Zwa,2,1996,1996,0,1996
198,Amin Abbasloo,1,2015,2015,0,2015
199,Amin Jourabloo,1,2017,2017,0,2017
200,Amir A. Zamani,1,2019,2019,0,2019
201,Amir H. Meghdadi,1,2013,2013,0,2013
202,Amir Hossein Hajizadeh,1,2013,2013,0,2013
203,Amira Chalbi,1,2019,2019,0,2019
204,Amira Solomovici,1,1996,1996,0,1996
205,Amit Bandopadhay,1,1990,1990,0,1990
206,Amit Goel,1,1999,1999,0,1999
207,Amit Kumar,1,2009,2009,0,2009
208,Amitabh Varshney,13,1993,2001.07692307692,7.38761958122662,2014
209,Amitesh Maiti,1,2021,2021,0,2021
210,Amnon Shabo,1,2002,2002,0,2002
211,Amy Ashurst Gooch,1,2000,2000,0,2000
212,Amy K. Karlson,2,2006,2008,2.82842712474619,2010
213,Ana Jofre,1,2015,2015,0,2015
214,Ana M. Cuadros,1,2007,2007,0,2007
215,Anand Agarawala,1,2004,2004,0,2004
216,Ananda Montoly,1,2019,2019,0,2019
217,Anas Daghistani,1,2020,2020,0,2020
218,Anastasia Bezerianos,14,2008,2014.78571428571,3.88643739231647,2021
219,Anatole Lécuyer,1,2006,2006,0,2006
220,Anbang Xu,2,2007,2011.5,6.36396103067893,2016
221,Anders Persson,5,2006,2009.2,2.58843582110896,2012
222,Anders Ynnerman,16,2000,2012.875,5.28992753573556,2020
223,Andrada Tatu,2,2009,2010.5,2.12132034355964,2012
224,Andre Schmeißer,1,2015,2015,0,2015
225,Andre Waschk,1,2019,2019,0,2019
226,Andrea Batch,3,2017,2018,1,2019
227,Andrea Brambilla,1,2013,2013,0,2013
228,Andrea G. C. Bianchi,1,2012,2012,0,2012
229,Andrea J. S. Hin,1,1993,1993,0,1993
230,Andrea K. Steiner,1,2008,2008,0,2008
231,Andrea Liu,1,2018,2018,0,2018
232,Andrea Unger,3,2012,2013.66666666667,2.88675134594813,2017
233,Andreas A. Müller,1,1995,1995,0,1995
234,Andreas Ammer,1,2010,2010,0,2010
235,Andreas Bannach,1,2011,2011,0,2011
236,Andreas Buja,2,1991,2000.5,13.4350288425444,2010
237,Andreas Butz,2,2012,2013,1.4142135623731,2014
238,Andreas Disch,1,2004,2004,0,2004
239,Andreas Elsener,1,2011,2011,0,2011
240,Andreas Gerndt,1,2012,2012,0,2012
241,Andreas Glatz,1,2015,2015,0,2015
242,Andreas Hubeli,2,2000,2000.5,0.707106781186548,2001
243,Andreas J. Lind,1,2016,2016,0,2016
244,Andreas Johannsen,1,1994,1994,0,1994
245,Andreas Just,1,2016,2016,0,2016
246,Andreas Kerren,2,2015,2017.5,3.53553390593274,2020
247,Andreas King,1,2005,2005,0,2005
248,Andreas König 0002,1,2001,2001,0,2001
249,Andreas Lamprecht,1,2017,2017,0,2017
250,Andreas M. Tillmann,1,2012,2012,0,2012
251,Andreas Mathisen,1,2018,2018,0,2018
252,Andreas Müller 0012,1,2014,2014,0,2014
253,Andreas Paepcke,1,2012,2012,0,2012
254,Andreas Pommert,1,1992,1992,0,1992
255,Andreas Rauber,1,2014,2014,0,2014
256,Andreas Reh,1,2013,2013,0,2013
257,Andreas Schäfler,1,2018,2018,0,2018
258,Andreas Sigfridsson,1,2002,2002,0,2002
259,Andreas Stoffel,4,2009,2011.25,2.21735578260835,2014
260,Andreas Thom 0002,1,2015,2015,0,2015
261,Andreas W. Reimer,1,2014,2014,0,2014
262,Andreas Walch,2,2019,2019.5,0.707106781186548,2020
263,Andrei C. Jalba,1,2007,2007,0,2007
264,Andrei Hutanu,2,2004,2004.5,0.707106781186548,2005
265,Andrei Lintu,1,2005,2005,0,2005
266,Andrei State,3,1994,1996,2,1998
267,Andrej Cedilnik,1,2000,2000,0,2000
268,Andres Lalama,1,2020,2020,0,2020
269,Andrew Brandt,1,1994,1994,0,1994
270,Andrew Callan-Jones,2,2004,2005,1.4142135623731,2006
271,Andrew Cunningham,1,2019,2019,0,2019
272,Andrew E. Johnson 0001,2,2004,2006.5,3.53553390593274,2009
273,Andrew F. Westdorp,1,1991,1991,0,1991
274,Andrew Fall,1,1996,1996,0,1996
275,Andrew H. Crabb,1,1996,1996,0,1996
276,Andrew H. Stevens,3,2015,2015.33333333333,0.577350269189626,2016
277,Andrew Higginbotham,1,2007,2007,0,2007
278,Andrew J. Hanson,19,1990,1999.15789473684,6.41407443651794,2009
279,Andrew J. Solis,1,2019,2019,0,2019
280,Andrew Lumsdaine,2,2011,2011.5,0.707106781186548,2012
281,Andrew Mehler,1,2006,2006,0,2006
282,Andrew Mercer 0001,2,2010,2012.5,3.53553390593274,2015
283,Andrew Moore,1,1999,1999,0,1999
284,Andrew P. Woodfield,1,1994,1994,0,1994
285,Andrew Poon,1,1993,1993,0,1993
286,Andrew Rosenberg,1,2011,2011,0,2011
287,Andrew S. Forsberg,2,2000,2004.5,6.36396103067893,2009
288,Andrew S. Glassner,1,1996,1996,0,1996
289,Andrew T. Wilson,3,2005,2009.66666666667,6.42910050732864,2017
290,Andrew Thomas Burks,2,2017,2017.5,0.707106781186548,2018
291,Andrew V. Royappa,1,1994,1994,0,1994
292,Andrew Vande Moere,3,2004,2012,8,2020
293,Andrew W. Appel,1,1998,1998,0,1998
294,Andrew Wade,3,2007,2007,0,2007
295,Andrew Watson,1,1997,1997,0,1997
296,Andrew Wentzel,2,2019,2020,1.4142135623731,2021
297,Andrew Wood,1,1995,1995,0,1995
298,Andrey Krekhov,2,2018,2018.5,0.707106781186548,2019
299,Andries van Dam,1,2000,2000,0,2000
300,Andruid Kerne,1,2004,2004,0,2004
301,Andrzej Staszczak,1,2012,2012,0,2012
302,Andrzej Szymczak,3,1999,2005,7.21110255092798,2013
303,András Lukács,2,2009,2010,1.4142135623731,2011
304,André Calero Valdez,1,2017,2017,0,2017
305,André Guéziec,2,1998,1998.5,0.707106781186548,1999
306,André Neubauer 0002,1,2004,2004,0,2004
307,André Reichenbach,1,2015,2015,0,2015
308,André Schulz 0001,1,2012,2012,0,2012
309,André Skupin,1,2000,2000,0,2000
310,Andrés Monroy-Hernández,1,2016,2016,0,2016
311,Andy Bardill,1,2016,2016,0,2016
312,Angela Boltman,1,1999,1999,0,1999
313,Angela H. DePace,1,2010,2010,0,2010
314,Angela K. Mellema,1,2007,2007,0,2007
315,Angela Mayhua,1,2017,2017,0,2017
316,Angela Nyhout,1,2020,2020,0,2020
317,Angelos Chatzimparmpas,1,2020,2020,0,2020
318,Angus G. Forbes,4,2010,2014.5,4.79583152331272,2020
319,Aniket Kittur,1,2007,2007,0,2007
320,Aniketh Venkat,1,2021,2021,0,2021
321,Anilkumar Patro,1,2004,2004,0,2004
322,Anish Chandak,2,2007,2007.5,0.707106781186548,2008
323,Anja C. Schunke,1,2015,2015,0,2015
324,Anjali Manivannan,1,2014,2014,0,2014
325,Anjul Tyagi,1,2019,2019,0,2019
326,Ankur Kapoor,1,2014,2014,0,2014
327,Ankush Kumar,1,2003,2003,0,2003
328,Ann Sherlock,1,2021,2021,0,2021
329,Anna A. Shaverdian,1,2009,2009,0,2009
330,Anna Barford,1,2006,2006,0,2006
331,Anna Celler,1,2001,2001,0,2001
332,Anna Gogolou,1,2018,2018,0,2018
333,Anna M. Ritz,1,2010,2010,0,2010
334,Anna MacKay-Brandt,1,2009,2009,0,2009
335,Anna Pia Lohfink,1,2021,2021,0,2021
336,Anna Puig,1,1997,1997,0,1997
337,Anna Tikhonova,2,2009,2009.5,0.707106781186548,2010
338,Anna Vilanova,19,2000,2009.89473684211,5.96186712776482,2019
339,Anne E. Carpenter,1,2011,2011,0,2011
340,Anne Laprie,1,2014,2014,0,2014
341,Anne Mai Wassermann,2,2013,2013.5,0.707106781186548,2014
342,Anne Schur,1,1995,1995,0,1995
343,Annelot Kraima,1,2016,2016,0,2016
344,Annemarie Herrmann,1,1998,1998,0,1998
345,Annemieke Verbraeck,1,2020,2020,0,2020
346,Annette Haworth,1,2017,2017,0,2017
347,Annie Tat,3,2007,2007.33333333333,0.577350269189626,2008
348,Annika Bonerath,1,2020,2020,0,2020
349,Annika Frank,1,2012,2012,0,2012
